index	date	category	title	tags			
1	2016.12.31	Blog	깃허브 블로그 만들기 (1) 삽질의 연속	깃허브	jekyll	블로그 만들기	
2	2017.1.1	Blog	깃허브 블로그 만들기 (2) 난 안되나보다	깃허브	jekyll	블로그 만들기	
3	2017.1.2	Blog	깃허브 블로그 만들기 (3) 성공	깃허브	jekyll	블로그 만들기	
4	2017.1.3	E-Commerce	오늘의 관심사 - 모바일 마케팅/티몬/파이썬 등	오늘의 관심사	티몬	파이썬	모바일 마케팅
5	2017.1.4	E-Commerce	오늘의 관심사 - 이커머스	오늘의 관심사	이커머스		
6	2017.1.5	E-Commerce	오늘의 관심사 - 아마존/소비자 트렌드/논문읽기 등	오늘의 관심사	아마존	소비자 트렌드	논문 읽는 방법
7	2017.1.7	E-Commerce	오늘의 관심사 - 위메프/인도네시아/네이버와 카카오	오늘의 관심사	위메프	인도네시아	네이버와 카카오
8	2017.1.9	Python	파이썬 공부(정규식)	파이썬	크롤링	정규식	
9	2017.1.10	E-Commerce	2016년 글로벌 브랜드 랭킹 by Interbrand	글로벌 브랜드	패션브랜드	뷰티브랜드	
10	2017.1.11	Python	파이썬 공부(urllib)	파이썬	크롤링	urllib	라이브러리
11							
12							
13							
14							
15							
16							
17							
18							
19							
20							
21							
22							
23							
24							
25							
26							
27							
28							
29							
30							
31	2017.1.28	기획	왜 UX 디자인에서 제품 중심 사고가 필요한가?		UX	고객경험	제품중심
32							
33							
34							
